Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
145,Bruno Fernando,C,24,HOU,31,364,,,,,100%,-8.9,-0.6,5,4,33,8,19,1,74,2,14
145,Bruno Fernando,C,24,ATL,8,41,,,,,100%,-3.6,-4.0,2,1,3,2,4,0,3,2,0
146,Dorian Finney-Smith,PF,29,TOT,66,2009,,,27%,63%,10%,0.4,-0.2,33,10,81,9,27,4,250,9,20
146,Dorian Finney-Smith,PF,29,DAL,40,1288,,,13%,78%,9%,0.8,0.8,18,6,38,7,17,3,152,6,9
146,Dorian Finney-Smith,PF,29,BRK,26,721,,,52%,37%,12%,-0.3,-1.9,15,4,43,2,10,1,98,3,11
147,Malachi Flynn,PG,24,TOR,53,691,100%,,,,,-2.7,-4.7,13,8,34,3,13,5,161,4,9
148,Simone Fontecchio,SF,27,UTA,52,766,,13%,58%,29%,,-13.2,-15.1,17,10,29,4,19,2,103,3,16
149,Bryn Forbes,SG,29,MIN,25,268,56%,44%,,,,-7.7,-8.1,4,3,11,0,8,1,42,2,5
150,Trent Forrest,SG,24,ATL,23,277,29%,66%,6%,,,-8.4,-9.5,12,2,12,0,2,1,92,1,7
151,Michael Foster Jr.,PF,20,PHI,1,1,,,,,100%,-200.0,-204.8,0,0,0,0,0,0,0,0,0
